stop_id,stop_name,stop_lat,stop_lon,zone_id
"at:49:267:0:1","Eichenstraße","48.1814385554103","16.350146657007","0100"
"at:49:267:0:3","Eichenstraße","48.1803723719913","16.3500837749371","0100"
"at:49:267:0:4","Eichenstraße","48.1804622197642","16.3485656221067","0100"
"at:49:267:0:5","Eichenstraße","48.1803244531146","16.3500478423257","0100"
"at:49:267:0:6","Eichenstraße","48.1812408938667","16.3487812177749","0100"
"at:49:268:0:1","Einsiedeleigasse","48.1832713806969","16.2643844968201","0100"
"at:49:268:0:2","Einsiedeleigasse","48.1832893492478","16.264222800069","0100"
"at:49:269:0:1","Einsiedlerplatz","48.1854155833057","16.3497154656705","0100"
"at:49:269:0:2","Einsiedlerplatz","48.1851520548589","16.3492393585699","0100"
"at:49:27:0:1","Alser Straße U","48.2172027417717","16.342106735213","0100"
"at:49:27:0:2","Alser Straße","48.2168376217898","16.3417563922521","0100"
"at:49:27:0:3","Alser Straße","48.2170531027498","16.3424031792568","0100"
"at:49:27:0:4","Alser Straße U","48.217286539433","16.3421336846715","0100"
"at:49:27:0:5","Alser Straße","48.2168017082083","16.3419001226976","0100"
"at:49:27:0:6","Alser Straße","48.2173104815967","16.3419180890033","0100"
"at:49:27:0:7","Alser Straße","48.2171428862154","16.3414689313612","0100"
"at:49:27:0:8","Alser Straße","48.2172925249749","16.3420887689073","0100"
"at:49:270:0:1","Luzegasse","48.1607817983606","16.4500123671564","0100"
"at:49:270:0:2","Luzegasse","48.1591399242274","16.4507579688423","0100"
"at:49:271:0:1","Eipeldauer Straße","48.2629896810032","16.436070513945","0100"
"at:49:271:0:2","Eipeldauer Straße","48.2630913442546","16.4360525476393","0100"
"at:49:272:0:1","Eisenstadtplatz","48.1693079127169","16.3845521323935","0280"
"at:49:272:0:2","Eisenstadtplatz","48.1693798064603","16.3846329807691","0280"
"at:49:273:0:1","Eisstoßgasse","48.2178611482724","16.441029214314","0100"
"at:49:273:0:2","Eisstoßgasse","48.2178611482724","16.4408136186458","0100"
"at:49:274:0:1","Elderschplatz","48.2178372063662","16.4124987208864","0100"
"at:49:274:0:2","Elderschplatz","48.2177713660663","16.4123999062051","0100"
"at:49:274:0:3","Elderschplatz","48.2172805538903","16.4106661577065","0100"
"at:49:275:0:1","Elsbeergasse","48.218507575508","16.254188618344","0100"
"at:49:275:0:2","Elsbeergasse","48.2185973564229","16.2543143824837","0100"
"at:49:276:0:1","Elterleinplatz","48.2180407122121","16.3328900203966","0100"
"at:49:276:0:3","Elterleinplatz","48.2181903483474","16.3316323789987","0100"
"at:49:276:0:4","Elterleinplatz","48.2184896193061","16.3308957604656","0100"
"at:49:276:0:6","Elterleinplatz","48.2181484502737","16.3321084860993","0100"
"at:49:276:0:7","Elterleinplatz","48.2180287413024","16.3329439193137","0100"
"at:49:276:0:8","Elterleinplatz","48.218507575508","16.3310125414525","0100"
"at:49:277:0:1","Embelgasse","48.1827323212389","16.3522307484664","0100"
"at:49:278:0:2","Endemanngasse","48.1530932996398","16.2901122465609","0100"
