route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"23-5B-j20-1","04","5B","Praterstern - Heiligenstadt","3","0A295D","FFFFFF"
"23-60A-j20-1","04","60A","Liesing - Alterlaa","3","0A295D","FFFFFF"
"23-61A-j20-1","04","61A","Liesing - Vösendorf-Siebenhirten","3","0A295D","FFFFFF"
"23-62A-j20-1","04","62A","Meidling - Liesing","3","0A295D","FFFFFF"
"23-63A-j20-1","04","63A","Gesundheitszentrum Süd - Meidling Hauptstraße - Am Rosenhügel gültig bis 15.11.2020","3","0A295D","FFFFFF"
"23-63A-j20-2","04","63A","Gesundheitszentrum Süd - Am Rosenhügel gültig am 01.11.2020","3","0A295D","FFFFFF"
"23-64A-j20-1","04","64A","Hetzendorf - Alterlaa - Liesing nicht gültig am 01.11.2020","3","0A295D","FFFFFF"
"23-64A-j20-2","04","64A","Alterlaa - Liesing gültig am 01.11.2020","3","0A295D","FFFFFF"
"23-65A-j20-1","04","65A","Reumannplatz - Wienerberg City","3","0A295D","FFFFFF"
"23-66A-j20-1","04","66A","Reumannplatz - Liesing","3","0A295D","FFFFFF"
"23-67A-j20-1","04","67A","Alaudagasse - Inzersdorf, Slamastraße","3","0A295D","FFFFFF"
"23-67B-j20-1","04","67B","Alaudagasse - Alterlaa","3","0A295D","FFFFFF"
"23-68A-j20-1","04","68A","Reumannplatz - Kurpark Nordosteingang","3","0A295D","FFFFFF"
"23-68B-j20-1","04","68B","Reumannplatz - Oberlaa","3","0A295D","FFFFFF"
"23-69A-j20-1","04","69A","Hauptbahnhof - Simmering gültig ab 07.09.2020","3","0A295D","FFFFFF"
"23-70A-j20-1","04","70A","Oberlaa - Kledering","3","0A295D","FFFFFF"
"23-71A-j20-1","04","71A","Zentralfriedhof 3.Tor - Schwechat Bahnhof","3","0A295D","FFFFFF"
"23-71B-j20-1","04","71B","Zentralfriedhof 3.Tor - Kaiserebersdorf (- Zentralfriedhof 9. Tor)","3","0A295D","FFFFFF"
"23-72A-j20-1","04","72A","Gasometer - Hasenleitengasse","3","0A295D","FFFFFF"
"23-73A-j20-1","04","73A","Simmering - Pantucekgasse (-Landwehrstr.) gültig bis 01.11.2020","3","0A295D","FFFFFF"
"23-73A-j20-2","04","73A","Simmering - Landwehrstraße gültig ab 02.11.2020","3","0A295D","FFFFFF"
"23-74A-j20-1","04","74A","Stubentor - St. Marx/Leberstraße","3","0A295D","FFFFFF"
"23-76A-j20-1","04","76A","Enkplatz/Grillgasse - Alberner Hafen","3","0A295D","FFFFFF"
"23-76B-j20-1","04","76B","Enkplatz/Grillgasse - Alberner Hafen","3","0A295D","FFFFFF"
"23-77A-j20-1","04","77A","Rennweg - Stadlauer Brücke - Lusthaus","3","0A295D","FFFFFF"
"23-79A-j20-1","04","79A","Donaumarina - Kaiserebersdorf, Dreherstraße ab 31.10.2020","3","0A295D","FFFFFF"
"23-79A-j20-2","04","79A","Donaumarina - Freudenauer Hafenstraße vom 4.5. bis 30.10.2020","3","0A295D","FFFFFF"
"23-79B-j20-1","04","79B","Donaumarina - Kaiserebersdorf, Zinnergasse ab 31.10.2020","3","0A295D","FFFFFF"
"23-79B-j20-2","04","79B","Donaumarina - Kaiserebersdorf, Zinnergasse vom 4.5. bis 30.10.2020","3","0A295D","FFFFFF"
"23-7A-j20-1","04","7A","Meidling Hauptstraße - Reumannplatz","3","0A295D","FFFFFF"
"23-7B-j20-1","04","7B","Wienerberg City - Meidling","3","0A295D","FFFFFF"
"23-80A-j20-1","04","80A","Praterstern - Schlachthausgasse (- Neu Marx)","3","0A295D","FFFFFF"
"23-82A-j20-1","04","82A","Praterstern - Krieau","3","0A295D","FFFFFF"
"23-84A-j20-1","04","84A","Aspernstraße - Seestadt gültig bis 01.11.2020","3","0A295D","FFFFFF"
"23-84A-j20-2","04","84A","Aspernstraße - Seestadt gültig ab 02.11.2020","3","0A295D","FFFFFF"
"23-85A-j20-1","04","85A","Hausfeldstraße - Breitenlee, Rautenweg","3","0A295D","FFFFFF"
"23-86A-j20-1","04","86A","Stadlau - Breitenleer Str./Arnikaweg","3","0A295D","FFFFFF"
"23-87A-j20-1","04","87A","Stadlau - Hermann-Gebauer-Straße","3","0A295D","FFFFFF"
"23-88A-j20-1","04","88A","Seestadt - Eßling, Stadtgrenze","3","0A295D","FFFFFF"
"23-88B-j20-1","04","88B","Seestadt - Eßling, Wegmayersiedlung","3","0A295D","FFFFFF"
"23-89A-j20-1","04","89A","Aspern Nord - Invalidensiedlung gültig ab 07.09.2020","3","0A295D","FFFFFF"
"23-8A-j20-1","04","8A","Meidling - Küniglberg/ORF-Zentrum","3","0A295D","FFFFFF"
"23-92A-j20-1","04","92A","Kaisermühlen-VIC - Aspern, Zachgasse Winterfahrplan ab 25.10.2020","3","0A295D","FFFFFF"
"23-92A-j20-2","04","92A","Kaisermühlen V.I.C. - Aspern, Zachgasse Sommerfahrplan ab 29.5.bis 24.10.2020","3","0A295D","FFFFFF"
"23-92B-j20-1","04","92B","Kaisemühlen V.I.C. - Ölhafen Winterfahrplan ab 25.10.2020","3","0A295D","FFFFFF"
"23-92B-j20-2","04","92B","Kaisemühlen V.I.C. - Ölhafen Sommerfahrplan ab 29.5. bis 24.10.2020","3","0A295D","FFFFFF"
"23-93A-j20-1","04","93A","Kagran - Aspernstraße","3","0A295D","FFFFFF"
"23-94A-j20-1","04","94A","Kagran - Stadlau","3","0A295D","FFFFFF"
"23-95A-j20-1","04","95A","Großer Biberhaufen - Aspern Nord","3","0A295D","FFFFFF"
"23-95B-j20-1","04","95B","Hirschstetten Ort - Hausfeldstraße","3","0A295D","FFFFFF"
"23-96A-j20-1","04","96A","Schillwasserweg - Erzherzog-Karl-Straße","3","0A295D","FFFFFF"
"23-97A-j20-1","04","97A","Aspernstraße - Breitenlee Schule","3","0A295D","FFFFFF"
"23-98A-j20-1","04","98A","Hirschstetten Ort - Eßling Schippanisiedlung","3","0A295D","FFFFFF"
"23-99A-j20-1","04","99A","Aspern Nord - Eßling Schule gültig ab 07.09.2020","3","0A295D","FFFFFF"
"23-99B-j20-1","04","99B","Aspern Nord - Eßling Schule gültig ab 07.09.2020","3","0A295D","FFFFFF"
"23-9A-j20-1","04","9A","Meidling Hauptstraße - Meidling","3","0A295D","FFFFFF"
"23-OE-Z-j20-1","04","OE","Praterstern - Bruno-Marek-Allee Schienenersatzverkehr gültig ab 07.09. bis 02.10.2020","3","",""
"24-N06-B-j20-1","04","N6","Westbahnhof - Enkplatz/Grillgasse gültig ab 09.06.2020 (Baustelle Matzleinsdorfer Platz)","3","0A295D","FFFFFF"
"24-N06-j20-1","04","N6","Westbahnhof - Enkplatz/Grillgasse","3","0A295D","FFFFFF"
"24-N08-j20-1","04","N8","Handelskai - Alterlaa","3","0A295D","FFFFFF"
"24-N08-Z-j20-1","04","N8","Handelskai - Alterlaa gültig ab 02.06.2020","3","0A295D","FFFFFF"
"24-N20-j20-1","04","N20","Kagraner Platz - Floridsdorf - Strebersdorf","3","0A295D","FFFFFF"
"24-N20-Z-j20-1","04","N20","Kagraner Platz - Floridsdorf - Strebersdorf gültig ab 02.06.2020","3","0A295D","FFFFFF"
"24-N23-j20-1","04","N23","Hausfeldstraße - Kagraner Platz","3","0A295D","FFFFFF"
"24-N23-Z-j20-1","04","N23","Hausfeldstraße - Kagraner Platz","3","0A295D","FFFFFF"
"24-N25-j20-1","04","N25","Schwedenplatz - Großfeldsiedlung","3","0A295D","FFFFFF"
"24-N25-Z-j20-1","04","N25","Schwedenplatz - Großfeldsiedlung gültig ab 02.06.2020","3","0A295D","FFFFFF"
"24-N26-j20-1","04","N26","Kagran - Eßling, Stadtgrenze","3","0A295D","FFFFFF"
"24-N26-Z-j20-1","04","N26","Kagran - Eßling, Stadtgrenze gültig ab 02.06.2020","3","0A295D","FFFFFF"
"24-N29-j20-1","04","N29","Praterstern - Floridsdorf","3","0A295D","FFFFFF"
"24-N29-Z-j20-1","04","N29","Praterstern - Floridsdorf gültig ab 02.07.2020","3","0A295D","FFFFFF"
"24-N31-j20-1","04","N31","Schwedenplatz - Floridsdorf - Stammersdorf","3","0A295D","FFFFFF"
"24-N31-Z-j20-1","04","N31","Schwedenplatz - Floridsdorf - Stammersdorf gültig ab 02.06.2020","3","0A295D","FFFFFF"
"24-N35-j20-1","04","N35","Spittelau - Salmannsdorf","3","0A295D","FFFFFF"
"24-N35-Z-j20-1","04","N35","Spittelau - Salmannsdorf","3","0A295D","FFFFFF"
"24-N38-j20-1","04","N38","Schottenring - Grinzing","3","0A295D","FFFFFF"
"24-N38-Z-j20-1","04","N38","Schottenring - Grinzing gültig ab 02.06.2020","3","0A295D","FFFFFF"
"24-N41-j20-1","04","N41","Schottentor - Pötzleinsdorf","3","0A295D","FFFFFF"
"24-N41-Z-j20-1","04","N41","Schottentor - Pötzleinsdorf gültig ab 02.06.2020","3","0A295D","FFFFFF"
"24-N43-j20-1","04","N43","Schottentor - Neuwaldegg","3","0A295D","FFFFFF"
"24-N43-Z-j20-1","04","N43","Schottentor - Neuwaldegg gültig ab 02.06.2020","3","0A295D","FFFFFF"
"24-N46-j20-1","04","N46","Oper/Karlsplatz - Joachimsthalerplatz (- Otto-Wagner-Spital)","3","0A295D","FFFFFF"
"24-N46-Z-j20-1","04","N46","Oper/Karlsplatz - Joachimsthalerplatz (- Otto-Wagner-Spital) fährt nicht vom 07.07 bis 06.09.2020","3","0A295D","FFFFFF"
"24-N49-j20-1","04","N49","(Oper/Karlsplatz -) Hütteldorfer Str. - Hütteldorf, Bujattigasse (- Auhof) noch alter Linienweg","3","0A295D","FFFFFF"
"24-N49-Z-j20-2","04","N49","Oper, Karlsplatz - Hütteldorf, Bujattigasse gültig ab 07.09.2020","3","0A295D","FFFFFF"
"24-N60-j20-1","04","N60","Oper/Karlsplatz - Maurer Hauptplatz","3","0A295D","FFFFFF"
"24-N60-Z-j20-1","04","N60","Oper/Karlsplatz - Maurer Hauptplatz gültig ab 02.06.2020","3","0A295D","FFFFFF"
"24-N62-j20-1","04","N62","Oper/Karlsplatz - Speising, Hermesstraße","3","0A295D","FFFFFF"
"24-N62-Z-j20-1","04","N62","Oper/Karlsplatz - Speising, Hermesstraße gültig ab 02.06.2020","3","0A295D","FFFFFF"
"24-N65-j20-1","04","N65","Quellenplatz - Liesing nicht gültig vom 20.07. bis 03.08.2020","3","0A295D","FFFFFF"
"24-N66-j20-1","04","N66","Oper/Karlsplatz - Liesing","3","0A295D","FFFFFF"
"24-N66-Z-j20-1","04","N66","Oper/Karlsplatz - Liesing gültig ab 02.06.2020","3","0A295D","FFFFFF"
"24-N67-j20-1","04","N67","Quellenplatz - Inzersdorf, Großmarkt","3","0A295D","FFFFFF"
"24-N67-Z-j20-1","04","N67","Quellenplatz - Inzersdorf, Großmarkt gültig ab 30.05. aber nicht vom 03.08 - 23.08.2020","3","0A295D","FFFFFF"
"24-N71-j20-1","04","N71","(Skodagasse-) Oper/Karlsplatz - Kaiserebersdorf","3","0A295D","FFFFFF"
"24-N71-Z-j20-1","04","N71","(Skodagasse-) Oper/Karlsplatz - Kaiserebersdorf gültig ab 02.06.2020","3","0A295D","FFFFFF"
"24-N75-j20-1","04","N75","Oper/Karlsplatz - Gasometer","3","0A295D","FFFFFF"
"24-N75-Z-j20-1","04","N75","Oper/Karlsplatz - Gasometer gültig ab 02.06.2020","3","0A295D","FFFFFF"
"25-25B-j20-1","04","25B","Wien Süßenbrunner Platz - Gerasdorf Postamt gültig ab 04.07.2020","3","",""
"25-41A-j20-1","04","41A","Pötzleinsdorf - Neustifter Friedhof gültig ab 04.07.2020","3","",""
"25-44B-j20-1","04","44B","Dornbach - Predigtstuhl gültig ab 04.07.2020","3","",""
"25-49B-j20-1","04","49B","Sofienalpenstraße - Hinterhainbach gültig ab 04.07.2020","3","",""
"25-86A-j20-1","04","86A","Arnikaweg - Stadlau gültig ab 04.07.2020","3","",""
"25-89A-j20-1","04","89A","Invaliedensiedlung - Aspern Nord gültig ab 04.07.2020","3","",""
"25-N17-j20-1","04","N17","Wien Himberger Straße - Wien Unterlaa gültig ab 04.07.2020 aber nicht vom 03.08. - 23.08.2020","3","",""
"25-N24-F-j20-1","04","N24","Wien Kagraner Platz - Wien Neueßling gültig ab 04.07.2020. Samstag, Sonn - und Feiertag","3","",""
"25-N24-W-j20-1","04","N24","Wien Kagraner Platz - Wien Neueßling gültig ab 04.07.2020 Montag bis Freitag wenn Werktag","3","",""
"25-N35-j20-1","04","N35","Wien Nußdorfer Straße - Wien Salmannsdorf gültig ab 04.07.2020","3","",""
"25-N36-j20-1","04","N36","Nußdorfer Straße - Nußdorf gültig ab 01.11.2020","3","",""
